image,link,price,titile
https://www.village-bd.com/uploads/product/mini_list/Gigabyte GeForce® GTX 1050 Ti OC 4G-1.jpg,https://www.village-bd.com/gigabyte-gtx-1050-ti-oc-4gb-ddr5-graphics-card,"৳ 17,500",Gigabyte GTX 1050 Ti OC 4GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/sapphire r7 240 1gb ddr5 2-500x500.jpg,https://www.village-bd.com/sapphire-r7-240-1gb-ddr5-graphics-card,"৳ 5,500",Sapphire R7 240 1GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-nvidia-geforce-gt-1030-oc-2gb-ddr5-graphics-card-1563968296.jpg,https://www.village-bd.com/gigabyte-nvidia-geforce-gt-1030-oc-2gb-ddr5-graphics-card,"৳ 8,400",Gigabyte NVIDIA GeForce GT 1030 OC 2GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-geforce-rtx-2070-aorus-xtreme-8gb-gddr6-graphics-card-1564049750.jpg,https://www.village-bd.com/gigabyte-geforce-rtx-2070-aorus-xtreme-8gb-gddr6-graphics-card,"৳ 65,000",Gigabyte GeForce RTX 2070 AORUS XTREME 8GB GDDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/Zotac GeForce GT 710 2GB A.jpg,https://www.village-bd.com/zotac-geforce-gt-710-2gb-ddr3-graphics-card,"৳ 4,350",ZOTAC GeForce GT 710 2GB DDR3 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/GV-RX570AORUS-4GB.jpg,https://www.village-bd.com/gigabyte-amd-radeon-rx570-aorus-4gb-ddr5-graphics-card,"৳ 28,800",Gigabyte AMD Radeon RX570 Aorus 4GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/ZOTAC GeForce GT 730 LP 2GB 902-1-500x500.jpg,https://www.village-bd.com/zotac-geforce-gt-730-2gb-ddr5-graphics-card,"৳ 5,800",ZOTAC GeForce GT 730 2GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/z1-500x500.jpg,https://www.village-bd.com/zotac-geforce-gt-1030-2gb-ddr5-graphics-card,"৳ 8,200",ZOTAC GeForce GT 1030 2GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/sapphire-nitro-radeon-rx-570-8g-gddr5-graphics-card-1562144398.jpg,https://www.village-bd.com/sapphire-nitro-radeon-rx-570-8gb-gddr5-graphics-card,"৳ 19,000",SAPPHIRE NITRO+ RADEON RX 570 8GB GDDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/PH-GTX1050 4gb.jpg,https://www.village-bd.com/asus-ph-gtx1050ti-4g-4gb-ddr-5-graphics-card,"৳ 16,950",ASUS PH-GTX1050TI-4G 4GB DDR-5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-geforce-gtx-1650-oc-4gb-ddr5-graphics-card-1563973003.jpg,https://www.village-bd.com/gigabyte-geforce-gtx-1650-oc-4gb-ddr5-graphics-card,"৳ 18,000",Gigabyte GeForce GTX 1650 OC 4GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-geforce-gtx-1650-windforce-oc-4gb-ddr5-graphics-card-1563973752.jpg,https://www.village-bd.com/gigabyte-geforce-gtx-1650-windforce-oc-4gb-ddr5-graphics-card,"৳ 18,500",Gigabyte GeForce GTX 1650 WINDFORCE OC 4GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-geforce-gtx-1650-gaming-oc-4gb-ddr5-graphics-card-1563974443.jpg,https://www.village-bd.com/gigabyte-geforce-gtx-1650-gaming-oc-4gb-ddr5-graphics-card,"৳ 21,000",Gigabyte GeForce GTX 1650 GAMING OC 4GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-geforce-gtx-1660-oc-6gb-ddr5-graphics-card-1563975285.jpg,https://www.village-bd.com/gigabyte-geforce-gtx-1660-oc-6gb-ddr5-graphics-card,"৳ 23,000",Gigabyte GeForce GTX 1660 OC 6GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-geforce-gtx-1660-gaming-oc-6gb-gddr5-graphics-card-1563975921.jpg,https://www.village-bd.com/gigabyte-geforce-gtx-1660-gaming-oc-6gb-gddr5-graphics-card,"৳ 29,000",Gigabyte GeForce GTX 1660 GAMING OC 6GB GDDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/Asus Rog Strix Radeon RX 580 O8G Gaming OC Edition GDDR5 Graphics Card.jpg,https://www.village-bd.com/asus-rog-strix-radeon-rx580-o8g-gaming-oc-edition-gddr5-graphics-card,"৳ 27,000",Asus Rog Strix Radeon RX580 O8G Gaming OC Edition GDDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-aorus-radeon-rx-580-8g-8gb.jpg,https://www.village-bd.com/gigabyte-aorus-radeon-rx-580-8g-8gb-gddr5-graphics-card,"৳ 34,000",Gigabyte AORUS Radeon RX 580 8G 8GB GDDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-geforce-gtx-1660-gaming-6gb-ddr5-graphics-card-1564034852.jpg,https://www.village-bd.com/gigabyte-geforce-gtx-1660-gaming-6gb-ddr5-graphics-card,"৳ 25,500",Gigabyte GeForce GTX 1660 GAMING 6GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-geforce-gtx-1660-ti-oc-6gb-ddr5-graphics-card-1564035789.jpg,https://www.village-bd.com/gigabyte-geforce-gtx-1660-ti-oc-6gb-ddr6-graphics-card,"৳ 29,500",Gigabyte GeForce GTX 1660 Ti OC 6GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-geforce-gtx-1660-ti-windforce-oc-6gb-ddr6-graphics-card-1564036988.jpg,https://www.village-bd.com/gigabyte-geforce-gtx-1660-ti-windforce-oc-6gb-ddr6-graphics-card,"৳ 30,500",Gigabyte GeForce GTX 1660 Ti WINDFORCE OC 6GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-geforce-gtx-1660-ti-gaming-oc-6gb-ddr6-graphics-card-1564037866.jpg,https://www.village-bd.com/gigabyte-geforce-gtx-1660-ti-gaming-oc-6gb-ddr6-graphics-card,"৳ 31,500",Gigabyte GeForce GTX 1660 Ti GAMING OC 6GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-geforce-rtx-2060-oc-6gb-ddr6-graphics-card-1564038903.jpg,https://www.village-bd.com/gigabyte-geforce-rtx-2060-oc-6gb-ddr6-graphics-card,"৳ 37,500",Gigabyte GeForce RTX 2060 OC 6GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-geforce-rtx-2060-windforce-oc-6gb-ddr6-graphics-card-1564039576.jpg,https://www.village-bd.com/gigabyte-geforce-rtx-2060-windforce-oc-6gb-ddr6-graphics-card,"৳ 38,500",Gigabyte GeForce RTX 2060 WINDFORCE OC 6GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-geforce-rtx-2060-gaming-oc-pro-6gb-ddr6-graphics-card-1564045695.jpg,https://www.village-bd.com/gigabyte-geforce-rtx-2060-gaming-oc-pro-6gb-ddr6-graphics-card,"৳ 40,000",Gigabyte GeForce RTX 2060 GAMING OC PRO 6GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-geforce-rtx-2070-windforce-8gb-ddr6-graphics-card-1564046614.jpg,https://www.village-bd.com/gigabyte-geforce-rtx-2070-windforce-8gb-ddr6-graphics-card,"৳ 53,000",Gigabyte GeForce RTX 2070 WINDFORCE 8GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-geforce-rtx-2070-gaming-oc-white-8gb-ddr6-graphics-card-1564048030.jpg,https://www.village-bd.com/gigabyte-geforce-rtx-2070-gaming-oc-white-8gb-ddr6-graphics-card,"৳ 59,000",Gigabyte GeForce RTX 2070 GAMING OC WHITE 8GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/ASUS DUAL-GTX1070-O8G 8GB Graphics Card.jpeg,https://www.village-bd.com/asus-dual-gtx1070-o8g-8gb-graphics-card,"৳ 50,500",ASUS DUAL-GTX1070-O8G 8GB Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-aorus-geforce-rtx-2070-8gb-ddr6-graphics-card-1564049154.jpg,https://www.village-bd.com/gigabyte-aorus-geforce-rtx-2070-8gb-ddr6-graphics-card,"৳ 63,000",Gigabyte AORUS GeForce RTX 2070 8GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-geforce-rtx-2080-gaming-oc-white-8gb-ddr6-graphics-card-1564051797.jpg,https://www.village-bd.com/gigabyte-geforce-rtx-2080-gaming-oc-white-8gb-ddr6-graphics-card,"৳ 81,000",Gigabyte GeForce RTX 2080 GAMING OC WHITE 8GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-geforce-rtx-2080-windforce-oc-8gb-graphics-card-1564054425.jpg,https://www.village-bd.com/gigabyte-geforce-rtx-2080-windforce-oc-8gb-ddr6-graphics-card,"৳ 83,000",Gigabyte GeForce RTX 2080 WINDFORCE OC 8GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-aorus-geforce-rtx-2080-xtreme-8gb-ddr6-graphics-card-1564055155.jpg,https://www.village-bd.com/gigabyte-aorus-geforce-rtx-2080-xtreme-8gb-ddr6-graphics-card,"৳ 87,000",Gigabyte AORUS GeForce RTX 2080 XTREME 8GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-geforce-rtx-2080-ti-windforce-11gb-ddr6-graphics-card-1564056004.jpg,https://www.village-bd.com/gigabyte-geforce-rtx-2080-ti-windforce-11gb-ddr6-graphics-card,"৳ 113,000",Gigabyte GeForce RTX 2080 Ti WINDFORCE 11GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-radeon-rx-550-2gb-ddr5-graphics-card-1564056774.jpg,https://www.village-bd.com/gigabyte-radeon-rx-550-2gb-ddr5-graphics-card,"৳ 9,600",Gigabyte Radeon RX 550 2GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-radeon-rx-570-gaming-8gb-ddr5-mi-graphics-card-1564057526.jpg,https://www.village-bd.com/gigabyte-radeon-rx-570-gaming-8gb-ddr5-mi-graphics-card,"৳ 16,500",Gigabyte Radeon RX 570 Gaming 8GB DDR5 MI Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-radeon-rx-580-gaming-8gb-ddr5-mi-graphics-card-1564058155.jpg,https://www.village-bd.com/gigabyte-radeon-rx-580-gaming-8gb-ddr5-mi-graphics-card,"৳ 20,000",Gigabyte Radeon RX 580 Gaming 8GB DDR5 MI Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-radeon-rx-vega-56-gaming-oc-8gb-hbm2-graphics-card-1564058881.jpg,https://www.village-bd.com/gigabyte-radeon-rx-vega-56-gaming-oc-8gb-hbm2-graphics-card,"৳ 63,500",Gigabyte Radeon RX VEGA 56 GAMING OC 8GB HBM2 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/gigabyte-geforce-gtx-1050-ti-windforce-oc-4gb-ddr5-graphics-card-1564059488.jpg,https://www.village-bd.com/gigabyte-geforce-gtx-1050-ti-windforce-oc-4gb-ddr5-graphics-card,"৳ 18,000",Gigabyte GeForce GTX 1050 Ti Windforce OC 4GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/ZOTAC-GTX-1050-Ti-OC-Edition-Graphic-Card-ZT-P10510B-10L-1.jpg,https://www.village-bd.com/zotac-geforce-gtx-1050-ti-oc-edition-4gb-gddr5-graphics-card,"৳ 16,500",ZOTAC GeForce GTX 1050 Ti OC Edition 4GB GDDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/GeForce RTX 2060 AMP A.jpg,https://www.village-bd.com/zotac-gaming-geforce-rtx-2060-amp-6gb-gddr6-graphics-card,"৳ 37,500",ZOTAC GAMING GeForce RTX 2060 AMP 6GB GDDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/ZOTAC GAMING GeForce GTX 1660 Ti AMP A.jpg,https://www.village-bd.com/zotac-gaming-geforce-gtx-1660-ti-amp-6gb-gddr6-graphics-card,"৳ 29,900",ZOTAC GAMING GeForce GTX 1660 Ti AMP 6GB GDDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/zotac-gaming-geforce-gtx-1660-amp-6gb-gddr5-graphics-card-1566650525.jpg,https://www.village-bd.com/zotac-gaming-geforce-gtx-1660-amp-6gb-gddr5-graphics-card,"৳ 24,000",Zotac Gaming GeForce GTX 1660 AMP 6GB GDDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/zotac-gaming-geforce-gtx-1660-6gb-gddr5-graphics-card-1566650119.jpg,https://www.village-bd.com/zotac-gaming-geforce-gtx-1660-6gb-gddr5-graphics-card,"৳ 21,500",ZOTAC GAMING GeForce GTX 1660 6GB GDDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/ph-gtx1050-3g-1.jpg,https://www.village-bd.com/asus-ph-gtx1050-3gb-graphics-card,"৳ 15,500",ASUS PH-GTX1050-3GB Graphics Card
https://www.village-bd.com/uploads/product/mini_list/rog-strix-rtx2070-o8g-gaming-1.jpg,https://www.village-bd.com/asus-rog-strix-rtx2070-o8g-gaming-graphics-card,"৳ 71,500",ASUS ROG-STRIX-RTX2070-O8G-GAMING Graphics Card
https://www.village-bd.com/uploads/product/mini_list/P_setting_000_1_90_end_500.jpg,https://www.village-bd.com/asus-dual-rtx2070-o8g-graphics-card,"৳ 67,000",ASUS DUAL-RTX2070-O8G Graphics Card
https://www.village-bd.com/uploads/product/mini_list/zotac-gaming-geforce-rtx2070-amp-extreme-8gb-ddr6-graphics-card-1566651514.jpg,https://www.village-bd.com/zotac-gaming-geforce-rtx2070-amp-extreme-8gb-ddr6-graphics-card,"৳ 66,000",ZOTAC GAMING GEFORCE RTX2070 AMP! EXTREME 8GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/zotac-gaming-geforce-rtx2080-amp-edition-8gb-ddr6-graphics-card-1566651914.jpg,https://www.village-bd.com/zotac-gaming-geforce-rtx2080-amp-edition-8gb-ddr6-graphics-card,"৳ 79,000",ZOTAC GAMING GEFORCE RTX2080 AMP! EDITION 8GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_list/zotac-gaming-geforce-rtx2080ti-amp-edition-11gb-ddr6-graphics-card-1566652572.jpg,https://www.village-bd.com/zotac-gaming-geforce-rtx2080ti-amp-edition-11gb-ddr6-graphics-card,"৳ 126,000",ZOTAC GAMING GEFORCE RTX2080Ti AMP! EDITION 11GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/Gigabyte GeForce® GTX 1050 Ti OC 4G-1.jpg,https://www.village-bd.com/gigabyte-gtx-1050-ti-oc-4gb-ddr5-graphics-card,"৳ 17,500",Gigabyte GTX 1050 Ti OC 4GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/sapphire r7 240 1gb ddr5 2-500x500.jpg,https://www.village-bd.com/sapphire-r7-240-1gb-ddr5-graphics-card,"৳ 5,500",Sapphire R7 240 1GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/gigabyte-nvidia-geforce-gt-1030-oc-2gb-ddr5-graphics-card-1563968296.jpg,https://www.village-bd.com/gigabyte-nvidia-geforce-gt-1030-oc-2gb-ddr5-graphics-card,"৳ 8,400",Gigabyte NVIDIA GeForce GT 1030 OC 2GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/gigabyte-geforce-rtx-2070-aorus-xtreme-8gb-gddr6-graphics-card-1564049750.jpg,https://www.village-bd.com/gigabyte-geforce-rtx-2070-aorus-xtreme-8gb-gddr6-graphics-card,"৳ 65,000",Gigabyte GeForce RTX 2070 AORUS XTREME 8GB GDDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/Zotac GeForce GT 710 2GB A.jpg,https://www.village-bd.com/zotac-geforce-gt-710-2gb-ddr3-graphics-card,"৳ 4,350",ZOTAC GeForce GT 710 2GB DDR3 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/GV-RX570AORUS-4GB.jpg,https://www.village-bd.com/gigabyte-amd-radeon-rx570-aorus-4gb-ddr5-graphics-card,"৳ 28,800",Gigabyte AMD Radeon RX570 Aorus 4GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/ZOTAC GeForce GT 730 LP 2GB 902-1-500x500.jpg,https://www.village-bd.com/zotac-geforce-gt-730-2gb-ddr5-graphics-card,"৳ 5,800",ZOTAC GeForce GT 730 2GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/z1-500x500.jpg,https://www.village-bd.com/zotac-geforce-gt-1030-2gb-ddr5-graphics-card,"৳ 8,200",ZOTAC GeForce GT 1030 2GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/sapphire-nitro-radeon-rx-570-8g-gddr5-graphics-card-1562144398.jpg,https://www.village-bd.com/sapphire-nitro-radeon-rx-570-8gb-gddr5-graphics-card,"৳ 19,000",SAPPHIRE NITRO+ RADEON RX 570 8GB GDDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/PH-GTX1050 4gb.jpg,https://www.village-bd.com/asus-ph-gtx1050ti-4g-4gb-ddr-5-graphics-card,"৳ 16,950",ASUS PH-GTX1050TI-4G 4GB DDR-5 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/gigabyte-geforce-gtx-1650-oc-4gb-ddr5-graphics-card-1563973003.jpg,https://www.village-bd.com/gigabyte-geforce-gtx-1650-oc-4gb-ddr5-graphics-card,"৳ 18,000",Gigabyte GeForce GTX 1650 OC 4GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/gigabyte-geforce-gtx-1650-windforce-oc-4gb-ddr5-graphics-card-1563973752.jpg,https://www.village-bd.com/gigabyte-geforce-gtx-1650-windforce-oc-4gb-ddr5-graphics-card,"৳ 18,500",Gigabyte GeForce GTX 1650 WINDFORCE OC 4GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/gigabyte-geforce-gtx-1650-gaming-oc-4gb-ddr5-graphics-card-1563974443.jpg,https://www.village-bd.com/gigabyte-geforce-gtx-1650-gaming-oc-4gb-ddr5-graphics-card,"৳ 21,000",Gigabyte GeForce GTX 1650 GAMING OC 4GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/gigabyte-geforce-gtx-1660-oc-6gb-ddr5-graphics-card-1563975285.jpg,https://www.village-bd.com/gigabyte-geforce-gtx-1660-oc-6gb-ddr5-graphics-card,"৳ 23,000",Gigabyte GeForce GTX 1660 OC 6GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/gigabyte-geforce-gtx-1660-gaming-oc-6gb-gddr5-graphics-card-1563975921.jpg,https://www.village-bd.com/gigabyte-geforce-gtx-1660-gaming-oc-6gb-gddr5-graphics-card,"৳ 29,000",Gigabyte GeForce GTX 1660 GAMING OC 6GB GDDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/Asus Rog Strix Radeon RX 580 O8G Gaming OC Edition GDDR5 Graphics Card.jpg,https://www.village-bd.com/asus-rog-strix-radeon-rx580-o8g-gaming-oc-edition-gddr5-graphics-card,"৳ 27,000",Asus Rog Strix Radeon RX580 O8G Gaming OC Edition GDDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/gigabyte-aorus-radeon-rx-580-8g-8gb.jpg,https://www.village-bd.com/gigabyte-aorus-radeon-rx-580-8g-8gb-gddr5-graphics-card,"৳ 34,000",Gigabyte AORUS Radeon RX 580 8G 8GB GDDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/gigabyte-geforce-gtx-1660-gaming-6gb-ddr5-graphics-card-1564034852.jpg,https://www.village-bd.com/gigabyte-geforce-gtx-1660-gaming-6gb-ddr5-graphics-card,"৳ 25,500",Gigabyte GeForce GTX 1660 GAMING 6GB DDR5 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/gigabyte-geforce-gtx-1660-ti-oc-6gb-ddr5-graphics-card-1564035789.jpg,https://www.village-bd.com/gigabyte-geforce-gtx-1660-ti-oc-6gb-ddr6-graphics-card,"৳ 29,500",Gigabyte GeForce GTX 1660 Ti OC 6GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/gigabyte-geforce-gtx-1660-ti-windforce-oc-6gb-ddr6-graphics-card-1564036988.jpg,https://www.village-bd.com/gigabyte-geforce-gtx-1660-ti-windforce-oc-6gb-ddr6-graphics-card,"৳ 30,500",Gigabyte GeForce GTX 1660 Ti WINDFORCE OC 6GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/gigabyte-geforce-gtx-1660-ti-gaming-oc-6gb-ddr6-graphics-card-1564037866.jpg,https://www.village-bd.com/gigabyte-geforce-gtx-1660-ti-gaming-oc-6gb-ddr6-graphics-card,"৳ 31,500",Gigabyte GeForce GTX 1660 Ti GAMING OC 6GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/gigabyte-geforce-rtx-2060-oc-6gb-ddr6-graphics-card-1564038903.jpg,https://www.village-bd.com/gigabyte-geforce-rtx-2060-oc-6gb-ddr6-graphics-card,"৳ 37,500",Gigabyte GeForce RTX 2060 OC 6GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/gigabyte-geforce-rtx-2060-windforce-oc-6gb-ddr6-graphics-card-1564039576.jpg,https://www.village-bd.com/gigabyte-geforce-rtx-2060-windforce-oc-6gb-ddr6-graphics-card,"৳ 38,500",Gigabyte GeForce RTX 2060 WINDFORCE OC 6GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/gigabyte-geforce-rtx-2060-gaming-oc-pro-6gb-ddr6-graphics-card-1564045695.jpg,https://www.village-bd.com/gigabyte-geforce-rtx-2060-gaming-oc-pro-6gb-ddr6-graphics-card,"৳ 40,000",Gigabyte GeForce RTX 2060 GAMING OC PRO 6GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/gigabyte-geforce-rtx-2070-windforce-8gb-ddr6-graphics-card-1564046614.jpg,https://www.village-bd.com/gigabyte-geforce-rtx-2070-windforce-8gb-ddr6-graphics-card,"৳ 53,000",Gigabyte GeForce RTX 2070 WINDFORCE 8GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/gigabyte-geforce-rtx-2070-gaming-oc-white-8gb-ddr6-graphics-card-1564048030.jpg,https://www.village-bd.com/gigabyte-geforce-rtx-2070-gaming-oc-white-8gb-ddr6-graphics-card,"৳ 59,000",Gigabyte GeForce RTX 2070 GAMING OC WHITE 8GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/ASUS DUAL-GTX1070-O8G 8GB Graphics Card.jpeg,https://www.village-bd.com/asus-dual-gtx1070-o8g-8gb-graphics-card,"৳ 50,500",ASUS DUAL-GTX1070-O8G 8GB Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/gigabyte-aorus-geforce-rtx-2070-8gb-ddr6-graphics-card-1564049154.jpg,https://www.village-bd.com/gigabyte-aorus-geforce-rtx-2070-8gb-ddr6-graphics-card,"৳ 63,000",Gigabyte AORUS GeForce RTX 2070 8GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/gigabyte-geforce-rtx-2080-gaming-oc-white-8gb-ddr6-graphics-card-1564051797.jpg,https://www.village-bd.com/gigabyte-geforce-rtx-2080-gaming-oc-white-8gb-ddr6-graphics-card,"৳ 81,000",Gigabyte GeForce RTX 2080 GAMING OC WHITE 8GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/gigabyte-geforce-rtx-2080-windforce-oc-8gb-graphics-card-1564054425.jpg,https://www.village-bd.com/gigabyte-geforce-rtx-2080-windforce-oc-8gb-ddr6-graphics-card,"৳ 83,000",Gigabyte GeForce RTX 2080 WINDFORCE OC 8GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/gigabyte-aorus-geforce-rtx-2080-xtreme-8gb-ddr6-graphics-card-1564055155.jpg,https://www.village-bd.com/gigabyte-aorus-geforce-rtx-2080-xtreme-8gb-ddr6-graphics-card,"৳ 87,000",Gigabyte AORUS GeForce RTX 2080 XTREME 8GB DDR6 Graphics Card
https://www.village-bd.com/uploads/product/mini_thumbs/gigabyte-geforce-rtx-2080-ti-windforce-11gb-ddr6-graphics-card-1564056004.jpg,https://www.village-bd.com/gigabyte-geforce-rtx-2080-ti-windforce-11gb-ddr6-graphics-card,"৳ 113,000",Gigabyte GeForce RTX 2080 Ti WINDFORCE 11GB DDR6 Graphics Card
